Tempo,Usina,Potencia Ativa(kW),Potencia Ativa Prevista (Random Forest),PR,Status
2024-11-01 06:58:00,BET01 ,177.245,173.4965035111184,1.0216056024935476,Normal
2024-11-01 07:03:00,BET01 ,185.557,184.0994264353205,1.0079173172502607,Normal
2024-11-01 07:08:00,BET01 ,69.35000000000001,141.51503814589046,0.49005392577787965,Normal
2024-11-01 07:13:00,BET01 ,86.886,98.30927431245374,0.8838026789197176,Normal
2024-11-01 07:18:00,BET01 ,131.626,122.46155702888647,1.0748352641715293,Normal
2024-11-01 07:23:00,BET01 ,69.753,85.75673699010851,0.8133821603782052,Normal
2024-11-01 07:28:00,BET01 ,71.396,82.14531898177411,0.8691426472619931,Normal
2024-11-01 07:33:00,BET01 ,204.171,153.9332181875242,1.3263608882085167,Normal
2024-11-01 07:38:00,BET01 ,228.101,209.27259991558472,1.089970689387957,Normal
2024-11-01 07:43:00,BET01 ,61.788,135.49925238225157,0.45600251598209796,Normal
2024-11-01 07:48:00,BET01 ,50.669,59.36650197962907,0.8534947876394415,Normal
2024-11-01 07:53:00,BET01 ,102.7,96.90954966427798,1.0597510808354984,Normal
2024-11-01 07:58:00,BET01 ,146.715,169.24333013625915,0.8668879292429343,Normal
2024-11-01 08:03:00,BET01 ,244.821,210.8126728394812,1.161320127022979,Normal
2024-11-01 08:08:00,BET01 ,106.881,117.61355558621165,0.9087472907972364,Normal
2024-11-01 08:13:00,BET01 ,250.011,210.13111926641764,1.1897856960587552,Normal
2024-11-01 08:18:00,BET01 ,123.767,170.43716693170654,0.7261737696543202,Normal
2024-11-01 08:23:00,BET01 ,58.14,74.44080624364842,0.7810232442903012,Normal
2024-11-01 08:28:00,BET01 ,62.148,63.02085659129733,0.9861497187041113,Normal
2024-11-01 08:33:00,BET01 ,99.064,82.2729898410659,1.2040889749038026,Normal
2024-11-01 08:38:00,BET01 ,153.525,168.50124425024603,0.9111208684726128,Normal
2024-11-01 08:43:00,BET01 ,53.641,77.80075451542132,0.6894663211700283,Normal
2024-11-01 08:48:00,BET01 ,44.746,51.58656990847479,0.8673963025529441,Normal
2024-11-01 08:53:00,BET01 ,36.336,34.724054677378696,1.046421575406383,Normal
